"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-04","4.70"," 1016"," 1015","0.00",,"0.0","0.0",,"82","62",,"  360","  350","15.0","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-05","2.91"," 1619"," 1732","0.00",,"0.0","0.0",,"85","57",,"  160","  180","14.1","17.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-06","4.70"," 1408"," 1407","0.00",,"0.0","0.0",,"87","62",,"  210","  210","15.0","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-07","7.38"," 1721"," 1443","0.00",,"0.0","0.0",,"89","63",,"  210","  210","17.9","23.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-08","12.30"," 1439"," 1116","0.00",,"0.0","0.0",,"85","58",,"  300","  280","21.9","30.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-09","7.16"," 0342"," 0341","0.00",,"0.0","0.0",,"70","49",,"  360","  360","17.9","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-10","6.26"," 0850"," 0904","0.00",,"0.0","0.0",,"67","50",,"   70","   60","16.1","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-11","5.59"," 1056"," 1559","0.16",,"0.0","0.0",,"67","55",,"  130","  140","13.0","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-12","6.71"," 1000"," 0959","0.00",,"0.0","0.0",,"84","57",,"  220","  210","16.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-13","3.80"," 1430"," 1254","0.00",,"0.0","0.0",,"87","64",,"  200","  240","12.1","15.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-14","6.49"," 1553"," 2235","0.03",,"0.0","0.0",,"89","68",,"  190","  350","16.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-15","2.91"," 1635"," 1634","0.00",,"0.0","0.0",,"88","67",,"  230","  230","10.1","14.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-16","5.14"," 1319"," 1318","0.47",,"0.0","0.0",,"87","68",,"  280","  280","17.0","23.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-17","7.83"," 1729"," 1728","0.46",,"0.0","0.0",,"78","58",,"   30","   40","15.0","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-18","5.59"," 2240"," 2219","0.00",,"0.0","0.0",,"74","54",,"  300","  320","16.1","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-19","6.04"," 1940"," 1121","0.00",,"0.0","0.0",,"77","62",,"   60","   90","12.1","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-20","5.14"," 1614"," 1706","0.00",,"0.0","0.0",,"80","58",,"   20","   30","12.1","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-21","3.58"," 1711"," 1711","0.20",,"0.0","0.0",,"77","56",,"  210","  210","14.1","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-22","5.37"," 1331"," 1320","0.00",,"0.0","0.0",,"81","62",,"  200","  220","13.0","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-23","6.71"," 1356"," 0732","0.00",,"0.0","0.0",,"86","69",,"   20","   80","15.0","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-24","8.50"," 1421"," 1654","0.24",,"0.0","0.0",,"77","64",,"   50","   80","21.0","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-25","7.38"," 1408"," 1532","0.00",,"0.0","0.0",,"78","66",,"   30","   60","15.0","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-26","6.49"," 0958"," 1044","0.00",,"0.0","0.0",,"83","60",,"   40","   30","14.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-27","4.70"," 1626"," 1605","0.00",,"0.0","0.0",,"90","57",,"  360","   10","14.1","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-28","5.59"," 1505"," 2027","0.84",,"0.0","0.0",,"89","64",,"  230","  120","17.9","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-29","3.58"," 1841"," 1829","0.05",,"0.0","0.0",,"82","62",,"  170","  180","14.1","17.9"
